Run	Model	start	End	Total time(min)	Initial errors	Repair count	Error progression	Result	Failure_category	Programmatic_Fix_Used	baseline_mutation	augmented_mutation	tests_generated	augmentation_success
4	deepseek-coder:6.7b	12:35	12:36	1.7	0	0	-	Success	-	No	9/13	-	4	no
4	deepseek-coder:6.7b	12:36	12:37	0.7	2	0	2	Fail	mvn_no_parse	-	-	-	-	-
5	deepseek-coder:6.7b	12:37	12:38	1.3	0	0	-	Success	-	No	16/24	-	4	no
5	deepseek-coder:6.7b	12:38	12:40	1.2	2	1	2	Fail	mvn_no_parse	-	-	-	-	-
8	deepseek-coder:6.7b	12:40	12:41	1.3	0	0	-	Success	-	No	6/7	-	5	no
4	deepseek-coder:6.7b	12:41	12:42	1.5	0	0	-	Success	-	No	24/28	23/28	4	yes
6	deepseek-coder:6.7b	12:42	12:44	1.9	0	0	-	Success	-	No	12/20	-	3	no
7	deepseek-coder:6.7b	12:44	12:45	1.1	1	1	1	Fail	mvn_no_parse	-	-	-	-	-
5	deepseek-coder:6.7b	12:45	12:46	0.7	0	0	-	Success	-	No	5/16	-	2	skip
9	deepseek-coder:6.7b	12:46	12:48	1.5	1	1	1	Fail	mvn_no_parse	-	-	-	-	-
4	deepseek-coder:6.7b	12:48	12:48	0.2	0	0	-	Fail	validation_fail	-	-	-	-	-
14	deepseek-coder:6.7b	12:48	12:48	0.1	0	0	-	Fail	validation_fail	-	-	-	-	-
15	deepseek-coder:6.7b	12:48	12:50	1.7	0	0	-	Success	-	No	19/25	-	5	no
4	deepseek-coder:6.7b	12:50	12:51	1.6	0	0	-	Success	-	No	10/31	15/31	4	yes
4	deepseek-coder:6.7b	12:51	12:53	1.8	0	0	-	Success	-	No	2/10	-	4	no
5	deepseek-coder:6.7b	12:53	12:54	1.1	0	0	-	Success	-	No	8/16	-	3	no
6	deepseek-coder:6.7b	12:54	12:55	0.7	0	0	-	Fail	validation_fail	-	-	-	-	-
4	deepseek-coder:6.7b	12:55	12:57	1.7	0	0	-	Success	-	No	8/15	-	3	no
8	deepseek-coder:6.7b	12:57	12:58	1.8	2	2	2-1-2	Fail	mvn_no_parse	-	-	-	-	-
7	deepseek-coder:6.7b	12:58	12:59	0.6	0	0	-	Success	-	No	7/7	-	4	skip
5	deepseek-coder:6.7b	12:59	13:00	1.1	0	0	-	Fail	validation_fail	-	-	-	-	-
6	deepseek-coder:6.7b	13:00	13:02	2.0	0	0	-	Success	-	No	21/28	20/28	7	yes
7	deepseek-coder:6.7b	13:02	13:03	1.4	0	0	-	Success	-	No	17/24	-	5	no
9	deepseek-coder:6.7b	13:03	13:05	1.5	0	0	-	Success	-	No	11/19	-	5	no
7	deepseek-coder:6.7b	13:05	13:07	1.9	0	0	-	Success	-	No	18/22	-	5	no
6	deepseek-coder:6.7b	13:07	13:09	2.0	0	0	-	Success	-	No	23/32	-	4	no
8	deepseek-coder:6.7b	16:28	16:30	1.4	1	1	1	Success	-	No	24/57	3/57	5	yes
8	deepseek-coder:6.7b	16:30	16:30	0.5	0	0	-	Success	-	No	15/40	-	2	skip
7	deepseek-coder:6.7b	16:30	16:31	1.2	0	0	-	Success	-	No	56/72	-	6	no
10	deepseek-coder:6.7b	16:31	16:33	1.2	5	0	5	Fail	repair_validation_fail	-	-	-	-	-
6	deepseek-coder:6.7b	16:33	16:34	1.3	0	0	-	Success	-	No	86/94	-	5	no
8	deepseek-coder:6.7b	16:34	16:35	0.5	0	0	-	Success	-	No	4/6	-	4	skip
8	deepseek-coder:6.7b	16:35	16:40	5.3	4	10	4-4-1-5-4-4-1-4-2-2-2-2-2-2-2-2	Fail	repair_exceeded	-	-	-	-	-
2	deepseek-coder:6.7b	16:40	16:40	0.5	0	0	-	Fail	validation_fail	-	-	-	-	-
15	deepseek-coder:6.7b	16:40	16:41	0.8	3	0	3	Success	-	Yes	6/11	-	3	no
8	deepseek-coder:6.7b	16:41	16:41	0.1	0	0	-	Fail	validation_fail	-	-	-	-	-
10	deepseek-coder:6.7b	16:41	16:43	1.9	2	2	2-2	Success	-	No	6/32	8/32	6	yes
6	deepseek-coder:6.7b	16:43	16:45	1.4	0	0	-	Success	-	No	16/27	-	5	no
8	deepseek-coder:6.7b	16:45	16:48	3.3	2	10	2-1-2-2-1-1-1-1-1-2-2	Fail	repair_exceeded	-	-	-	-	-
4	deepseek-coder:6.7b	16:48	16:49	0.6	0	0	-	Success	-	No	8/9	-	3	skip
5	deepseek-coder:6.7b	16:49	16:50	1.1	0	0	-	Success	-	No	9/13	-	4	no
5	deepseek-coder:6.7b	16:50	16:51	1.1	1	0	1	Success	-	Yes	10/12	-	3	no
6	deepseek-coder:6.7b	16:51	16:52	1.1	0	0	-	Success	-	No	16/24	-	4	no
6	deepseek-coder:6.7b	16:52	16:53	1.2	4	0	4	Fail	repair_validation_fail	-	-	-	-	-
9	deepseek-coder:6.7b	16:53	16:54	1.0	0	0	-	Success	-	No	6/7	-	5	no
5	deepseek-coder:6.7b	16:54	16:55	1.3	0	0	-	Success	-	No	23/28	-	4	no
7	deepseek-coder:6.7b	16:55	16:57	1.4	0	0	-	Success	-	No	12/20	-	3	no
8	deepseek-coder:6.7b	16:57	16:58	1.1	0	0	-	Success	-	No	15/16	-	3	no
6	deepseek-coder:6.7b	16:58	16:58	0.6	0	0	-	Success	-	No	5/16	-	2	skip
10	deepseek-coder:6.7b	16:58	17:00	1.6	1	1	1	Success	-	No	13/44	-	4	no
4	deepseek-coder:6.7b	17:00	17:02	1.6	0	0	-	Success	-	No	15/66	12/66	4	yes
14	deepseek-coder:6.7b	17:02	17:02	0.5	0	0	-	Fail	validation_fail	-	-	-	-	-
16	deepseek-coder:6.7b	17:02	17:02	0.1	0	0	-	Fail	validation_fail	-	-	-	-	-
5	deepseek-coder:6.7b	17:02	17:04	1.4	0	0	-	Success	-	No	15/31	15/31	5	yes
5	deepseek-coder:6.7b	17:04	17:05	1.5	0	0	-	Success	-	No	2/10	-	4	no
6	deepseek-coder:6.7b	17:05	17:06	0.5	0	0	-	Success	-	No	14/16	-	5	skip
6	deepseek-coder:6.7b	17:06	17:07	1.6	0	0	-	Success	-	No	13/177	-	4	no
5	deepseek-coder:6.7b	17:07	17:08	1.3	1	1	1-1	Fail	repair_validation_fail	-	-	-	-	-
9	deepseek-coder:6.7b	17:08	17:14	5.4	2	10	2-2-1-2-2-1-2-2-1-2-2-1-1-1-1	Fail	repair_exceeded	-	-	-	-	-
8	deepseek-coder:6.7b	17:14	17:14	0.5	0	0	-	Success	-	No	7/7	-	4	skip
5	deepseek-coder:6.7b	17:14	17:15	0.8	0	0	-	Fail	validation_fail	-	-	-	-	-
7	deepseek-coder:6.7b	17:15	17:17	1.9	0	0	-	Success	-	No	20/28	27/28	9	yes
8	deepseek-coder:6.7b	17:17	17:18	1.3	0	0	-	Success	-	No	17/24	17/24	8	yes
10	deepseek-coder:6.7b	17:18	17:20	1.5	0	0	-	Success	-	No	11/19	8/19	5	yes
8	deepseek-coder:6.7b	17:20	17:21	1.4	0	0	-	Success	-	No	18/22	-	7	no
7	deepseek-coder:6.7b	17:21	17:23	1.4	0	0	-	Success	-	No	23/32	-	4	no
9	deepseek-coder:6.7b	17:45	17:47	1.2	0	0	-	Success	-	No	23/57	12/57	3	yes
9	deepseek-coder:6.7b	17:47	17:47	0.5	0	0	-	Success	-	No	15/40	-	2	skip
8	deepseek-coder:6.7b	17:47	17:48	0.9	0	0	-	Success	-	No	56/72	-	6	no
11	deepseek-coder:6.7b	17:48	17:49	1.0	5	0	5	Fail	repair_validation_fail	-	-	-	-	-
7	deepseek-coder:6.7b	17:49	17:49	0.1	0	0	-	Fail	validation_fail	-	-	-	-	-
9	deepseek-coder:6.7b	17:49	17:50	0.6	0	0	-	Success	-	No	4/6	-	4	skip
9	deepseek-coder:6.7b	17:50	17:53	3.8	5	6	5-5-1-6-6-1-7-7-1-7	Fail	repair_exceeded	-	-	-	-	-
2	deepseek-coder:6.7b	17:53	17:54	0.5	0	0	-	Fail	validation_fail	-	-	-	-	-
16	deepseek-coder:6.7b	17:54	17:54	0.4	0	0	-	Success	-	No	4/11	-	2	skip
8	deepseek-coder:6.7b	17:54	17:55	1.0	0	0	-	Success	-	No	18/31	-	6	no
11	deepseek-coder:6.7b	17:55	17:56	1.1	0	0	-	Success	-	No	6/32	-	3	no
7	deepseek-coder:6.7b	17:56	17:58	1.1	0	0	-	Success	-	No	7/27	-	5	no
9	deepseek-coder:6.7b	17:58	18:01	3.3	2	6	2-2-1-2-1-1-2-2-1-1	Fail	repair_exceeded	-	-	-	-	-
5	deepseek-coder:6.7b	18:01	18:01	0.5	0	0	-	Success	-	No	8/9	-	3	skip
6	deepseek-coder:6.7b	18:01	18:02	1.1	0	0	-	Success	-	No	5/13	12/13	6	yes
6	deepseek-coder:6.7b	18:02	18:03	0.9	2	0	2-2	Fail	repair_validation_fail	-	-	-	-	-
7	deepseek-coder:6.7b	18:03	18:04	0.8	3	0	3	Fail	repair_validation_fail	-	-	-	-	-
7	deepseek-coder:6.7b	18:04	18:08	3.3	2	6	2-1-2-1-2-2-2	Fail	repair_exceeded	-	-	-	-	-
10	deepseek-coder:6.7b	18:08	18:08	0.8	0	0	-	Success	-	No	6/7	-	5	no
6	deepseek-coder:6.7b	18:08	18:10	1.2	0	0	-	Success	-	No	23/28	25/28	6	yes
8	deepseek-coder:6.7b	18:10	18:11	1.3	0	0	-	Success	-	No	12/20	-	3	no
9	deepseek-coder:6.7b	18:11	18:11	0.2	0	0	-	Fail	validation_fail	-	-	-	-	-
7	deepseek-coder:6.7b	18:11	18:12	0.5	0	0	-	Success	-	No	5/16	-	2	skip
11	deepseek-coder:6.7b	18:12	18:13	1.2	1	1	1-1	Fail	regen_validation_fail	-	-	-	-	-
5	deepseek-coder:6.7b	18:13	18:14	1.3	0	0	-	Success	-	No	12/66	20/66	4	yes
14	deepseek-coder:6.7b	18:14	18:16	1.4	0	0	-	Success	-	No	9/19	9/19	8	yes
16	deepseek-coder:6.7b	18:16	18:17	1.6	0	0	-	Success	-	No	19/25	-	5	no
6	deepseek-coder:6.7b	18:17	18:19	1.4	0	0	-	Success	-	No	15/31	19/31	8	yes
6	deepseek-coder:6.7b	18:19	18:20	1.5	0	0	-	Success	-	No	2/10	2/10	5	yes
7	deepseek-coder:6.7b	18:20	18:21	0.6	0	0	-	Success	-	No	14/16	-	5	skip
7	deepseek-coder:6.7b	18:21	18:22	1.2	0	0	-	Success	-	No	25/177	-	3	no
6	deepseek-coder:6.7b	18:22	18:22	0.6	0	0	-	Success	-	No	8/15	-	3	no
10	deepseek-coder:6.7b	18:22	18:26	3.3	2	6	2-3-1-1-1-1-1-1	Fail	repair_exceeded	-	-	-	-	-
9	deepseek-coder:6.7b	18:26	18:26	0.5	0	0	-	Success	-	No	7/7	-	4	skip
5	deepseek-coder:6.7b	18:26	18:27	0.7	0	0	-	Fail	validation_fail	-	-	-	-	-
8	deepseek-coder:6.7b	18:27	18:28	1.2	0	0	-	Success	-	No	20/28	-	7	no
9	deepseek-coder:6.7b	18:28	18:29	1.1	0	0	-	Success	-	No	17/24	-	5	no
11	deepseek-coder:6.7b	18:29	18:31	1.4	0	0	-	Success	-	No	11/19	13/19	8	yes
9	deepseek-coder:6.7b	18:31	18:31	0.9	0	0	-	Success	-	No	18/22	-	7	no
